kepid,tce_plnt_num,pred_score,pred_class,norm_kepid
003003224,01,0.000,0,100001645
003003991,01,0.000,0,100001645
003003992,01,0.000,0,100001645
003097331,01,0.000,0,100001645
003097346,01,0.000,0,100001645
003097352,01,0.000,0,100001645
003097912,01,0.000,0,100001645
003097926,01,1.000,1,100001645
003098015,01,0.000,0,100001645
003098184,01,0.000,0,100001645
003098194,01,0.000,0,100001645
003098197,01,0.000,0,100001645
003098605,01,0.862,1,100001645
003098810,01,1.000,1,100001645
003099613,01,0.000,0,100001645
003100479,01,0.000,0,100001645
003101178,01,0.858,1,100001645
003101923,01,0.771,1,100001645
003102000,01,0.000,0,100001645
003102024,01,0.000,0,100001645
003102309,01,0.097,0,100001645
003102384,01,1.000,1,100001645
003103212,01,1.000,1,100001645
003103227,01,0.958,1,100001645
003103473,01,0.528,1,100001645
003103684,01,0.000,0,100001645
003103752,01,0.000,0,100001645
003103851,01,0.000,0,100001645
003109550,01,0.867,1,100001645
003109825,01,0.000,0,100001645
003109930,01,0.931,1,100001645
003109937,01,0.000,0,100001645
003109997,01,0.000,0,100001645
003110177,01,0.988,1,100001645
003110496,01,0.000,0,100001645
003110937,01,0.000,0,100001645
003112129,01,0.999,1,100001645
003112242,01,0.000,0,100001645
003112677,01,0.000,0,100001645
003112828,01,0.000,0,100001645
003112869,01,0.000,0,100001645
003113266,01,0.000,0,100001645
003114167,01,1.000,1,100001645
003114661,01,0.000,0,100001645
003114667,01,0.000,0,100001645
003114747,01,0.000,0,100001645
003114811,01,1.000,1,100001645
003115272,01,0.000,0,100001645
003115435,01,0.000,0,100001645
003115480,01,0.000,0,100001645
003115833,01,1.000,1,100001645
003116004,01,0.000,0,100001645
003116298,01,0.000,0,100001645
003116412,01,0.989,1,100001645
003116544,01,0.000,0,100001645
003116546,01,0.000,0,100001645
003116601,01,0.000,0,100001645
003116768,01,0.000,0,100001645
003116989,01,0.000,0,100001645
003117046,01,0.000,0,100001645
003117511,01,0.000,0,100001645
003117514,01,0.000,0,100001645
003118797,01,0.894,1,100001645
